Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1633346450,2021-10-04T11:20:50Z,BAW874,51.473122,-0.486201,0,0,270
1633346489,2021-10-04T11:21:29Z,BAW874,51.473156,-0.485997,0,2,270
1633346502,2021-10-04T11:21:42Z,BAW874,51.473167,-0.485792,0,2,270
1633346515,2021-10-04T11:21:55Z,BAW874,51.473171,-0.485573,0,2,270
1633346527,2021-10-04T11:22:07Z,BAW874,51.473171,-0.485363,0,2,275
1633346539,2021-10-04T11:22:19Z,BAW874,51.47319,-0.485161,0,2,300
1633346554,2021-10-04T11:22:34Z,BAW874,51.473179,-0.484939,0,2,348
1633346670,2021-10-04T11:24:30Z,BAW874,51.473167,-0.485495,0,0,70
1633346720,2021-10-04T11:25:20Z,BAW874,51.473099,-0.484886,0,0,180
1633346787,2021-10-04T11:26:27Z,BAW874,51.473305,-0.484902,0,4,7
1633346796,2021-10-04T11:26:36Z,BAW874,51.473511,-0.484902,0,6,7
1633346804,2021-10-04T11:26:44Z,BAW874,51.473797,-0.484905,0,8,356
1633346809,2021-10-04T11:26:49Z,BAW874,51.474007,-0.484905,0,9,357
1633346814,2021-10-04T11:26:54Z,BAW874,51.474243,-0.484902,0,11,357
1633346819,2021-10-04T11:26:59Z,BAW874,51.474499,-0.484905,0,12,358
1633346823,2021-10-04T11:27:03Z,BAW874,51.474712,-0.484902,0,13,1
1633346829,2021-10-04T11:27:09Z,BAW874,51.475113,-0.484902,0,13,359
1633346835,2021-10-04T11:27:15Z,BAW874,51.47543,-0.484905,0,10,4
1633346841,2021-10-04T11:27:21Z,BAW874,51.475636,-0.484791,0,8,22
1633346846,2021-10-04T11:27:26Z,BAW874,51.475754,-0.484543,0,9,50
1633346849,2021-10-04T11:27:29Z,BAW874,51.475788,-0.484295,0,10,73
1633346853,2021-10-04T11:27:33Z,BAW874,51.475788,-0.484011,0,11,87
1633346859,2021-10-04T11:27:39Z,BAW874,51.475788,-0.483473,0,12,90
1633346862,2021-10-04T11:27:42Z,BAW874,51.475788,-0.483213,0,12,90
1633346867,2021-10-04T11:27:47Z,BAW874,51.475788,-0.482767,0,13,90
1633346869,2021-10-04T11:27:49Z,BAW874,51.475788,-0.482521,0,14,90
1633346882,2021-10-04T11:28:02Z,BAW874,51.475788,-0.481079,0,16,90
1633346890,2021-10-04T11:28:10Z,BAW874,51.4758,-0.480132,0,17,90
1633346906,2021-10-04T11:28:26Z,BAW874,51.4758,-0.477848,0,19,90
1633346912,2021-10-04T11:28:32Z,BAW874,51.4758,-0.476952,0,20,90
1633346925,2021-10-04T11:28:45Z,BAW874,51.475811,-0.474806,0,22,90
1633346935,2021-10-04T11:28:55Z,BAW874,51.475811,-0.473118,0,23,90
1633346941,2021-10-04T11:29:01Z,BAW874,51.475822,-0.472041,0,24,90
1633346947,2021-10-04T11:29:07Z,BAW874,51.475822,-0.470983,0,25,90
1633346953,2021-10-04T11:29:13Z,BAW874,51.475822,-0.46978,0,26,90
1633346957,2021-10-04T11:29:17Z,BAW874,51.475857,-0.468979,0,26,84
1633346959,2021-10-04T11:29:19Z,BAW874,51.475872,-0.468693,0,26,84
1633346970,2021-10-04T11:29:30Z,BAW874,51.475914,-0.466418,0,27,90
1633346977,2021-10-04T11:29:37Z,BAW874,51.475925,-0.464915,0,27,90
1633346985,2021-10-04T11:29:45Z,BAW874,51.475941,-0.463314,0,29,90
1633346991,2021-10-04T11:29:51Z,BAW874,51.475937,-0.46189,0,30,90
